Airfoil,Efficiency
fx77w121.dat,55.2312
fx61147.dat,55.1843
fx74cl6140.dat,55.0202
fx75141.dat,54.9974
fx74130wp2mod.dat,54.9044
fx76120.dat,54.6733
falcon.dat,54.3531
fx74130wp2.dat,53.8127
fx84w140.dat,53.7681
fx63143.dat,53.5907
fx63158.dat,53.3267
fx66s161.dat,53.3267
fx73cl1152.dat,53.2829
fx74130wp1.dat,53.2829
fxl142k.dat,53.2829
fx60160.dat,53.2393
fauvel.dat,53.1957
eh2070.dat,53.0949
eh1090.dat,53.0653
fx61168.dat,52.8924
eiffel371.dat,52.8494
eh2510.dat,52.8064
fx05h126.dat,52.7635
fx63145.dat,52.4228
fx76100.dat,52.4228
fx79l120.dat,52.4228
fx79k144.dat,52.3806
fx84w150.dat,52.2962
fx60157.dat,52.1283
fx66s171.dat,52.0031
fx77w153.dat,51.7958
fx66a175.dat,51.6722
fx77080.dat,51.5901
fx79l100.dat,51.4674
fx049915.dat,51.3860
eh3012.dat,50.8629
fx79w151a.dat,50.7437
e856.dat,50.6645
fx61184.dat,50.5462
ec863914.dat,50.4285
fx66182.dat,50.3503
fx6617a2.dat,50.0015
fx67k150.dat,49.7335
fx6617ai.dat,49.6574
fxs03182.dat,49.4307
fx83w160.dat,49.0573
ea61012.dat,48.7627
fxlv152.dat,48.4716
fx057816.dat,48.3633
fx38153.dat,48.3633
eh0009.dat,48.3411
fx66h60.dat,48.2615
fx76mp140.dat,48.2555
fx05188.dat,48.1839
fx66196v.dat,48.1125
ea81006.dat,47.9704
fx08s176.dat,47.6187
fx72ls160.dat,47.5219
fx71120.dat,47.5142
fx60177.dat,47.4795
fx711530.dat,47.4448
fx71l150.dat,47.4448
fx66s196.dat,47.0325
e857.dat,46.7616
fx711525.dat,46.3280
fx71089a.dat,46.0652
fx78k140a20.dat,45.9999
fx711520.dat,45.9674
e908.dat,45.7283
fx76mp160.dat,45.5483
fx84w175.dat,45.5483
ea61009.dat,45.5164
fg4.dat,44.5792
fxs02196.dat,44.4752
fx75vg166.dat,42.9860
fx05191.dat,42.9576
e858.dat,42.7596
fx73k170.dat,42.0673
fx73170.dat,39.8234
fx77w258.dat,39.5085
eh1070.dat,38.9209
fx77w270s.dat,37.7627
fx78k150.dat,36.7167
fx78k161.dat,36.4080
fx78k140.dat,36.2860
fx67k170.dat,35.8454
fx77w270.dat,35.4154
e874.dat,35.1625
fx69pr281.dat,33.8291
fx84w218.dat,32.8704
fx75193.dat,32.7874
fx73170a.dat,32.0276
fx78pk188.dat,31.6993
fx77w343.dat,29.1395
fx2.dat,26.8396
e862.dat,26.2456
fx83w227.dat,25.5114
fg1.dat,18.7011
fx79w660a.dat,0.0234
giiia.dat,nan
goe134.dat,315.3005
goe101.dat,64.5645
gm15sm.dat,64.5004
goe142.dat,64.2452
goe113.dat,63.6160
goe121.dat,63.3060
goe122.dat,62.6344
goe133.dat,62.1549
goe100.dat,61.9770
giiin.dat,61.8001
giiim.dat,60.8164
goe137.dat,60.7027
goe117.dat,60.6460
goe115.dat,60.5895
goe118.dat,60.1407
goe116.dat,59.6984
giiil.dat,59.2627
giiik.dat,58.3575
giiij.dat,57.8894
goe140.dat,57.6838
goe11k.dat,57.3780
goe124.dat,56.9254
giiii.dat,55.8486
fxs21158.dat,54.9509
giiih.dat,54.1717
giiib.dat,53.6321
goe06k.dat,53.0181
giiid.dat,52.8494
giiig.dat,52.7635
giiie.dat,52.7207
giiic.dat,52.4652
giiif.dat,52.2121
geminism.dat,52.1702
glennmartin2.dat,48.8360
goe07k.dat,45.4209
goe12k.dat,44.7327
glennmartin3.dat,44.0651
glennmartin4.dat,39.9950
goe114.dat,38.3356
goe13k.dat,29.6720
goe08k.dat,28.0207
goe09k.dat,15.7836
goe14.dat,14.1307
e863.dat,11.4753
goe05k.dat,9.7320
goe10k.dat,8.8118
goe16k.dat,nan
goe346.dat,386.6185
goe361.dat,274.5392
goe402.dat,165.3907
goe373.dat,160.2589
goe331.dat,114.5536
goe234.dat,76.5885
goe440.dat,76.3840
goe242.dat,73.0432
goe233.dat,72.0276
goe244.dat,70.7929
goe243.dat,70.0538
goe241.dat,68.8738
goe225.dat,67.9699
goe227.dat,67.7317
goe462.dat,67.3492
goe226.dat,66.3445
goe427.dat,65.2783
goe370.dat,64.8223
goe393.dat,64.6931
goe396.dat,64.6288
goe372.dat,64.3726
goe441.dat,64.2760
goe400.dat,64.2452
goe362.dat,64.1184
goe403.dat,63.9920
goe369.dat,63.7408
goe210.dat,63.5537
goe368.dat,63.4916
goe399.dat,63.4916
goe371.dat,63.3060
goe335.dat,63.2443
goe377.dat,63.2443
goe474.dat,63.1214
goe437.dat,62.9379
goe144.dat,62.7555
goe143.dat,62.5741
goe147.dat,62.5741
goe379.dat,62.4538
goe432.dat,62.4538
goe442.dat,62.4538
goe457.dat,62.3339
goe456.dat,62.1549
goe458.dat,62.1549
goe177.dat,62.0955
goe415.dat,62.0362
goe394.dat,61.8001
goe380.dat,61.7414
goe428.dat,61.6827
goe439.dat,61.6827
goe401.dat,61.4493
goe195.dat,61.3912
goe395.dat,61.3332
goe178.dat,61.2176
goe278.dat,61.1600
goe240.dat,60.9877
goe326.dat,60.9877
goe344.dat,60.9877
goe277.dat,60.8734
goe180.dat,60.8164
goe325.dat,60.7027
goe184.dat,60.4766
goe419.dat,60.4766
goe187.dat,60.4204
goe182.dat,60.3082
goe269.dat,60.1407
goe314.dat,60.0850
goe155.dat,60.0295
goe279.dat,59.8635
goe408.dat,59.8084
goe316.dat,59.7534
goe308.dat,59.5343
goe318.dat,59.5343
goe264.dat,59.4798
goe164.dat,59.4253
goe276.dat,59.4253
goe265.dat,59.3168
goe416a.dat,59.3168
goe309.dat,59.1009
goe392.dat,59.0472
goe450.dat,58.9936
goe176.dat,58.9400
goe389.dat,58.8866
goe431.dat,58.8409
goe385.dat,58.8332
goe287.dat,58.7800
goe174.dat,58.7269
goe358.dat,58.6209
goe286.dat,58.4626
goe311.dat,58.4626
goe217.dat,58.3844
goe336.dat,58.3575
goe282.dat,58.0965
goe438.dat,57.9928
goe235.dat,57.9410
goe436.dat,57.8894
goe238.dat,57.7864
goe407.dat,57.6838
goe310.dat,57.6326
goe303.dat,57.3780
goe359.dat,57.3780
goe477.dat,57.3780
goe479.dat,57.2768
goe165.dat,57.1257
goe167.dat,57.1257
goe328.dat,57.0005
goe323.dat,56.8258
goe239.dat,56.7761
goe285.dat,56.6771
goe363.dat,56.5783
goe190.dat,56.5291
goe321.dat,56.5291
goe228.dat,56.3825
goe300.dat,56.3819
goe257.dat,56.1868
goe418.dat,55.5144
goe426.dat,55.5144
goe430.dat,55.4197
goe365.dat,55.3253
goe301.dat,55.0907
goe319.dat,55.0440
goe405.dat,54.6733
goe298.dat,54.6273
goe404.dat,54.4899
goe29b.dat,54.3986
goe478.dat,54.2169
goe304.dat,54.0365
goe410.dat,53.8127
goe330.dat,53.6330
goe332.dat,53.5465
goe398.dat,53.2393
goe412.dat,53.1957
goe414.dat,53.0220
goe446.dat,52.4652
goe322.dat,52.4228
goe413.dat,52.1283
goe425.dat,51.9615
goe448.dat,51.9488
goe324.dat,51.7545
goe447.dat,51.5753
goe387.dat,51.3860
goe406.dat,51.3860
goe429.dat,51.1432
goe433.dat,51.1030
goe476.dat,50.9827
goe320.dat,50.7437
goe290.dat,50.0400
goe288.dat,49.7716
goe459.dat,49.5060
goe222.dat,49.1750
goe367.dat,48.7261
goe284.dat,48.6167
goe256.dat,48.5078
goe423.dat,48.5078
goe223.dat,48.4716
goe255.dat,47.6187
goe289.dat,47.1691
goe329.dat,47.1593
goe422.dat,46.8967
goe464.dat,46.4085
goe420.dat,45.6764
goe229.dat,45.2942
goe424.dat,45.1997
goe386.dat,45.0429
goe383.dat,44.5792
goe434.dat,44.5486
goe382.dat,43.3880
goe409.dat,43.2724
goe384.dat,42.5914
goe390.dat,41.8505
goe14k.dat,41.5294
goe173.dat,41.1414
goe449.dat,41.1088
goe460.dat,40.4937
goe435.dat,39.3171
goe421.dat,37.7408
goe366.dat,36.1044
goe364.dat,36.0007
goe15k.dat,33.1726
goe411.dat,31.8983
goe388.dat,26.1083
goe15.dat,21.0488
goe531.dat,9.2376
goe443.dat,0.0001
goe570.dat,nan
goe652.dat,75.6201
goe622.dat,62.2145
goe670.dat,59.6436
goe673.dat,58.4626
goe682.dat,58.4100
goe723.dat,57.7350
goe746.dat,57.3780
goe676.dat,56.6276
goe623.dat,56.4308
goe677.dat,56.1868
goe685.dat,56.0413
goe693.dat,55.7527
goe650.dat,54.9044
goe629.dat,54.7194
goe758.dat,54.5356
goe619.dat,54.2169
goe701.dat,54.2169
goe704.dat,54.1717
goe655.dat,54.0815
goe654.dat,53.3267
goe633.dat,53.1521
goe645.dat,52.7207
goe648.dat,52.6353
goe738.dat,52.3384
goe626.dat,52.2962
goe632.dat,51.3454
goe621.dat,51.1835
goe630.dat,50.9427
goe628.dat,50.6645
goe647.dat,50.5856
goe624.dat,50.5462
goe675.dat,50.1172
goe702.dat,49.8480
goe692.dat,49.1687
goe741.dat,49.0573
goe627.dat,48.6896
goe681.dat,48.5078
goe711.dat,47.4101
goe744.dat,47.1349
goe646.dat,46.8967
goe625.dat,43.5626
goe679.dat,43.4461
goe620.dat,42.3691
goe735.dat,38.9167
goe683.dat,34.1313
goe703.dat,33.7588
goe775.dat,nan
goe776.dat,nan
goe801.dat,179.9222
goe802.dat,179.9222
goe81.dat,143.5617
goe79.dat,122.3200
goe802a.dat,100.5447
goe804.dat,70.7725
hs1404.dat,64.3726
hq208.dat,63.7408
hq258.dat,63.6160
hq308.dat,63.4916
hq358.dat,63.1828
goe590.dat,62.9379
hs1606.dat,62.6344
hq209.dat,62.4538
hq2090sm.dat,62.4538
hobie.dat,62.3938
hq259.dat,62.3339
hq2590sm.dat,62.2741
hq259b.dat,62.2741
hq309.dat,62.1549
hq359.dat,61.8001
hq2195.dat,61.7414
hq2010.dat,61.1600
hq2510.dat,60.9877
hq3010.dat,60.8164
hq3510.dat,60.4766
hq2511.dat,59.5889
hq3011.dat,59.4253
ht23.dat,59.1547
hs1708.dat,58.9936
hq2012.dat,58.4100
hq2512.dat,58.2528
hq3012.dat,58.0965
hq3512.dat,57.7350
hq3013.dat,56.7266
ht22.dat,56.6276
hq3513.dat,56.3330
ht14.dat,55.9448
hq3014.dat,55.3253
hq3514.dat,54.9974
hsnlf213.dat,54.3986
hq3015.dat,53.9468
ht13.dat,52.9355
hq300gd2.dat,51.3048
hs1712.dat,50.9827
hq3518.dat,48.5440
ht33.dat,45.8629
hq17.dat,45.5164
ht05.dat,44.2452
ht12.dat,43.7092
ht08.dat,42.6194
ht21.dat,41.9857
hs1620.dat,39.5085
hs1430.dat,21.7667
ht35.dat,nan
m26.dat,101.1673
ist-mt1-18.dat,73.1617
ist-mt1-15.dat,71.4892
ma409sm.dat,64.3726
jx-gs-04.dat,64.1817
ma409.dat,64.0551
jx-gs-06.dat,63.9290
m13.dat,62.9379
mh30.dat,62.8770
mh43.dat,62.7555
m14.dat,60.7027
m17.dat,59.9741
marske4.dat,58.0965
m11.dat,57.9928
mh108.dat,57.7864
m9.dat,57.7350
m5.dat,55.8966
marske3.dat,55.8486
mh110.dat,nan
mh115.dat,57.7864
mh114.dat,57.6563
m12.dat,56.6276
mh106.dat,56.6276
m10.dat,56.5291
m685.dat,56.1868
marske2.dat,55.8966
m6.dat,55.7527
m15.dat,55.4197
marske5.dat,54.8580
mh113.dat,54.7777
m18.dat,54.7194
m8.dat,54.6733
m4.dat,54.5356
mh104.dat,53.5024
lwk79100.dat,53.3705
marske1.dat,53.2829
marske7.dat,52.8924
mb253515sm.dat,52.6779
m21.dat,52.2962
mh102.dat,51.9200
m24.dat,51.6311
mh112.dat,50.7077
lwk80120k25.dat,49.8480
m3.dat,49.5060
m2.dat,49.3181
m665.dat,48.9833
lwk80100.dat,47.5838
lwk80150k25.dat,47.2377
m1.dat,45.0117
lwk80080.dat,36.6052
m20.dat,14.5007
mh49.dat,nan
mh64.dat,62.3938
jx-gs-10.dat,62.3339
hobiesm.dat,62.2741
mh32.dat,62.2741
goe565.dat,62.2145
isa571.dat,62.1549
mh42.dat,62.0362
goe585.dat,61.9179
goe564.dat,61.8590
goe795sm.dat,61.8590
kc135winglet.dat,61.8590
ist-mt1-12.dat,61.8166
goe57.dat,61.6242
hq159.dat,61.6242
kc135d.dat,61.6242
jx-gs-15.dat,61.5658
goe566.dat,61.5075
mh62.dat,61.4493
mh117.dat,61.2176
goe563.dat,61.1600
hq1510.dat,61.1600
mh121.dat,61.0450
mh38.dat,60.8734
mh45.dat,60.7027
mh122.dat,60.6460
goe602m.dat,60.4204
mh44.dat,60.3642
legionair140_sm.dat,60.2522
mh60.dat,60.1964
mh116.dat,60.1407
goe596.dat,59.9187
goe595.dat,59.8084
goe602.dat,59.8084
hq1511.dat,59.8084
goe795.dat,59.7534
goe546.dat,59.6436
hq1010.dat,59.5343
mh61.dat,59.5343
kc135c.dat,59.4798
mh70.dat,59.2087
goe610b.dat,59.0472
k3311.dat,59.0472
k3311sm.dat,59.0472
hor07.dat,58.9400
mh20.dat,58.8866
lg10sc.dat,58.8332
k1.dat,58.7269
hh02.dat,58.6738
isa962.dat,58.6209
hq1512.dat,58.5152
hq1012.dat,58.4100
hq158.dat,58.3051
goe547.dat,58.2528
isa961.dat,58.2528
goe613.dat,58.0965
goe767.dat,57.9928
hq109.dat,57.8894
l7769.dat,57.8894
hq1585.dat,57.8378
joukowsk.dat,57.7864
lds2.dat,57.7350
mh46.dat,57.7350
mh120.dat,57.6838
goe766.dat,57.5815
goe574.dat,57.4796
mh25.dat,57.3274
goe587.dat,57.0755
goe591.dat,56.9754
hq159b.dat,56.8756
mh18.dat,56.8756
mh33.dat,56.8258
kc135b.dat,56.6276
mh201.dat,56.5291
mh84.dat,56.5291
mh200.dat,56.4799
mh83.dat,56.4308
l188tip.dat,56.3819
ls413mod.dat,56.3819
mh80.dat,56.1868
goe550.dat,56.0897
goe593.dat,56.0897
mh81.dat,55.8966
goe534.dat,55.8486
ls413.dat,55.8486
goe553.dat,55.8006
goe796.dat,55.8006
goe600.dat,55.7527
hor12.dat,55.7527
mh24.dat,55.6095
mh82.dat,55.6095
goe55.dat,55.5619
mh26.dat,55.4197
goe803h.dat,55.3031
goe584.dat,55.2782
goe769.dat,54.9974
gs1.dat,54.9974
jn153.dat,54.5669
goe549.dat,54.4899
l188root.dat,54.3531
mh93.dat,nan
mrc-16.dat,54.0815
goe567.dat,53.9468
goe617.dat,53.8573
la2573a.dat,53.7681
kc135a.dat,53.6349
goe599.dat,53.5907
mh91.dat,53.5465
goe615.dat,53.5024
mh23.dat,53.4584
hq108.dat,53.4144
mh78.dat,53.2393
goe548.dat,52.9884
mh94.dat,52.9355
lnv109a.dat,52.8924
hor04.dat,52.8494
mh92.dat,52.7635
ist-mt1-21.dat,52.7301
goe535.dat,52.5501
miley.dat,52.3806
goe611.dat,52.3384
mh95.dat,52.3384
hq010.dat,52.0031
goe765.dat,51.8371
mh27.dat,51.6722
j5012.dat,51.5901
goe612.dat,51.1835
ls013.dat,51.1030
