Airfoil,Efficiency
eiffel428.dat,69.7657
eh1090.dat,69.7571
goe284.dat,69.2834
goe404.dat,69.0243
giiii.dat,68.1552
fx66h60.dat,67.0646
goe406.dat,66.2099
giiib.dat,66.0273
fx76100.dat,65.9410
goe243.dat,65.6743
fx79l120.dat,65.6080
goe298.dat,65.4098
fx83w227.dat,65.2128
giiih.dat,65.0821
goe16k.dat,64.6403
eh2510.dat,64.3088
goe410.dat,64.2452
fx77080.dat,64.1184
fx38153.dat,63.9337
goe309.dat,63.7556
fx79l100.dat,63.7408
giiid.dat,63.7408
e858.dat,63.6783
giiic.dat,63.6160
giiie.dat,63.6160
giiif.dat,63.2443
giiig.dat,62.9989
e837.dat,62.9753
goe310.dat,62.7038
fg3.dat,61.7787
goe429.dat,61.5075
glennmartin2.dat,61.2754
goe320.dat,61.2754
fx2.dat,60.6460
goe435.dat,60.5330
fxl142k.dat,60.4204
eiffel430.dat,60.1407
fg2.dat,60.0971
eh3012.dat,60.0850
fx77w258.dat,59.8635
fx049915.dat,59.4581
glennmartin4.dat,59.1547
eh0009.dat,58.7360
goe198.dat,58.6625
goe235.dat,57.9410
glennmartin3.dat,57.4287
fx71120.dat,57.1257
ea81006.dat,57.0755
goe173.dat,56.0708
goe114.dat,55.7655
fx71089a.dat,55.7527
e862.dat,55.4197
fx63158.dat,55.2782
ea61012.dat,54.9509
eh1070.dat,54.8145
fxlv152.dat,54.1266
fx63143.dat,53.5907
goe187.dat,53.3026
fx77w270s.dat,53.2829
ea61009.dat,53.1521
fx69pr281.dat,52.9355
fx63145.dat,52.4652
fx711530.dat,52.0031
fx71l150.dat,52.0031
fx711525.dat,51.3048
e863.dat,50.9827
fx711520.dat,50.6645
e836.dat,50.2335
fx77w270.dat,50.0015
goe409.dat,48.8728
e874.dat,48.7168
goe229.dat,48.2914
goe275.dat,47.6936
fx77w343.dat,46.7953
goe281.dat,46.4040
fxs02196.dat,44.4752
e864.dat,43.7092
goe10k.dat,43.0114
fg4.dat,41.5953
e904.dat,39.4195
goe278.dat,39.4151
goe411.dat,38.5118
goe123.dat,38.1784
goe05k.dat,33.2481
goe257.dat,26.6972
goe14.dat,25.1137
goe09k.dat,17.7665
goe443.dat,13.6192
fx79w660a.dat,5.0288
goe444.dat,0.0017
goe459.dat,nan
goe460.dat,nan
goe523.dat,135.2817
goe525.dat,135.2817
goe547.dat,120.7284
goe495.dat,119.8375
hq359.dat,117.8800
hq309.dat,116.6102
hq308.dat,116.4338
goe517.dat,113.7511
hq3510.dat,113.3541
goe546.dat,110.0880
goe477.dat,109.4695
goe596.dat,109.3466
goe602m.dat,109.3466
goe682.dat,109.3466
goe584.dat,108.6152
goe673.dat,108.6152
goe590.dat,108.2532
hq3011.dat,108.2532
hq3010.dat,108.0731
goe499.dat,106.4785
goe602.dat,106.3043
hq3512.dat,106.3043
goe492.dat,106.0823
hs1404.dat,105.8290
goe591.dat,105.6129
goe479.dat,104.5924
goe623.dat,104.4243
goe549.dat,104.2567
hq3513.dat,103.5916
hq3012.dat,103.0983
goe482.dat,102.9381
goe593.dat,102.2865
hq17.dat,101.6462
goe500.dat,101.4874
hq258.dat,101.2512
goe457.dat,101.0138
hq3013.dat,100.8570
hq259.dat,100.6292
goe493.dat,100.2344
hs1708.dat,99.4669
goe613.dat,99.0121
hq3014.dat,98.8613
goe496.dat,98.4120
goe490.dat,97.6720
goe515.dat,97.5878
goe595.dat,97.2150
hq2510.dat,97.0880
hq3015.dat,96.7987
hs1606.dat,96.4847
goe478.dat,96.2250
goe508.dat,95.6582
hq3514.dat,95.2374
hq2512.dat,95.0980
goe497.dat,94.6821
hq2511.dat,94.2698
hq2590sm.dat,93.7257
hq259b.dat,93.7257
goe585.dat,93.5906
goe654.dat,93.5906
goe692.dat,93.5906
goe507.dat,93.5326
goe483.dat,93.4560
goe526.dat,92.9212
goe670.dat,92.7373
goe629.dat,92.1304
hq300gd2.dat,91.7400
goe501.dat,91.4259
goe624.dat,91.0966
goe484.dat,90.8418
goe449.dat,90.3364
goe533.dat,89.4654
goe488.dat,89.3424
goe532.dat,89.2197
hq2195.dat,88.7321
goe615.dat,88.4903
goe529.dat,88.2499
goe612.dat,88.1301
goe621.dat,88.0107
hq2010.dat,88.0107
hq2090sm.dat,88.0107
goe504.dat,87.8916
goe527.dat,87.8916
goe450.dat,87.7728
goe553.dat,87.6544
goe600.dat,87.3009
goe650.dat,87.3009
goe509.dat,86.7182
goe565.dat,86.3378
hq209.dat,86.1431
hq3518.dat,85.9771
goe655.dat,85.6885
goe566.dat,85.0156
goe676.dat,84.5728
goe563.dat,84.4481
goe567.dat,84.4481
goe550.dat,84.2437
goe633.dat,83.5932
goe498.dat,83.2717
goe604.dat,82.8468
goe528.dat,82.7413
goe564.dat,82.5310
goe502.dat,81.3934
goe677.dat,81.3934
hq2012.dat,81.2915
goe610b.dat,81.1899
hq1510.dat,81.1899
goe619.dat,80.8866
hq208.dat,80.7810
goe480.dat,80.5855
goe675.dat,80.3860
hq1511.dat,80.0887
goe620.dat,79.4033
goe617.dat,79.2096
goe646.dat,79.0169
goe648.dat,78.9209
hq1512.dat,78.9209
goe476.dat,78.8251
goe622.dat,78.5064
goe681.dat,77.3237
goe548.dat,77.2930
goe610bm.dat,77.2318
goe685.dat,76.9572
goe592.dat,76.6847
hq159.dat,76.3060
hq1012.dat,76.2346
goe535.dat,76.1453
goe534.dat,75.9671
goe494.dat,75.4708
goe679.dat,75.3502
goe601.dat,74.7433
goe630.dat,74.6161
goe491.dat,74.4861
goe628.dat,73.7252
goe645.dat,73.5582
goe626.dat,73.3091
hs1712.dat,73.2265
goe611.dat,73.0618
goe503.dat,72.4102
goe627.dat,71.2192
goe647.dat,71.1412
hq158.dat,70.9130
hq109.dat,70.3704
goe530.dat,70.2293
goe587.dat,70.1424
hq1585.dat,69.9913
hq159b.dat,69.9662
goe614.dat,69.0978
goe505.dat,67.9413
goe572.dat,67.0298
goe573.dat,66.8090
goe510.dat,66.6173
goe506.dat,66.4130
goe448.dat,66.3452
goe57.dat,65.8741
goe55.dat,65.6743
goe512.dat,65.2128
hs1620.dat,65.1473
goe683.dat,64.8223
goe599.dat,64.3726
hq108.dat,64.2173
goe562.dat,63.7282
goe513.dat,63.3060
goe522.dat,62.8770
goe464.dat,60.7633
goe625.dat,60.3642
goe481a.dat,59.8635
hsnlf213.dat,58.4626
goe511.dat,53.9916
goe514.dat,53.9468
goe518.dat,46.4811
goe598.dat,44.3144
goe559.dat,41.7418
goe561.dat,38.4331
goe571.dat,37.5662
goe474.dat,30.3633
goe481.dat,27.7810
hs1430.dat,25.3421
goe462.dat,22.1301
goe632.dat,21.7833
goe570.dat,16.0675
goe765.dat,nan
goe775.dat,nan
goe776.dat,nan
goe780.dat,nan
goe81.dat,271.7653
goe801.dat,193.5204
goe802.dat,193.5204
goe804.dat,161.7076
goe802b.dat,151.0509
hobiesm.dat,116.4013
goe796.dat,108.2532
goe758.dat,104.0896
goe693.dat,98.7111
goe795sm.dat,98.4554
goe746.dat,96.9098
goe723.dat,95.3772
hobie.dat,88.5675
gs1.dat,87.8916
goe701.dat,86.7182
goe741.dat,86.7182
goe769.dat,85.8017
goe797.dat,84.2176
goe803h.dat,82.3469
goe738.dat,82.0100
goe795.dat,81.9108
goe767.dat,81.4955
hor12.dat,80.6856
gu255118.dat,80.3860
goe766.dat,79.6956
hh02.dat,79.4033
goe777.dat,78.2553
goe770.dat,75.8784
hor07.dat,74.3157
hq1010.dat,73.3920
goe735.dat,72.0887
goe704.dat,71.8495
goe702.dat,70.3704
hor20.dat,69.7657
goe798.dat,69.6909
goe744.dat,69.0243
goe703.dat,65.6080
goe711.dat,62.9379
hq010.dat,62.8162
hor04.dat,61.6242
hq09.dat,52.1440
goe802a.dat,51.3048
griffith30SymSuction.dat,12.7527
goe575.dat,11.5920
ht35.dat,nan
ist-mt1-15.dat,145.6690
ist-mt1-12.dat,139.9136
ist-mt1-18.dat,133.7244
l188tip.dat,111.6012
k3311.dat,109.7161
k3311sm.dat,107.7339
legionair140_sm.dat,99.4669
kc135winglet.dat,95.7805
isa571.dat,92.2612
la2573a.dat,87.7728
l188root.dat,87.6740
kc135d.dat,86.7086
lds2.dat,86.5162
ist-mt1-21.dat,85.6293
kc135a.dat,84.6831
jx-gs-04.dat,79.2096
jx-gs-06.dat,79.1132
kc135b.dat,78.3497
k3.dat,77.9831
kc135c.dat,77.9735
isa962.dat,77.6008
jx-gs-15.dat,77.0681
jx-gs-10.dat,76.9572
lg10sc.dat,76.0561
la5055.dat,73.3920
ht23.dat,71.2974
joukowsk.dat,71.2974
isa961.dat,70.8309
ist-mt1-24.dat,69.0938
ht22.dat,67.2457
ht14.dat,67.1685
lnv109a.dat,66.9607
k1.dat,66.7543
jn153.dat,66.4876
ht13.dat,62.5741
l7769.dat,61.1517
j5012.dat,61.0450
isa960.dat,58.9936
ht34.dat,57.0005
k2.dat,55.1843
ht33.dat,53.7798
l1003.dat,52.5926
ht05.dat,50.5856
ht12.dat,49.8863
ht21.dat,48.6038
ht08.dat,48.4354
lwk80080.dat,nan
lwk80100.dat,nan
lwk80150k25.dat,nan
m25.dat,384.3308
ma409sm.dat,117.3671
lrn1015.dat,106.4785
m14.dat,104.8073
marske7.dat,104.5924
m17.dat,104.4243
m16.dat,99.7725
ls413.dat,98.1423
ls417.dat,96.6546
m15.dat,94.5443
ma409.dat,93.5192
ls421.dat,88.9752
ls413mod.dat,87.8916
m18.dat,87.1838
m12.dat,86.4872
m6.dat,84.6831
m13.dat,81.7005
m11.dat,81.6744
m22.dat,75.6134
ls421mod.dat,74.9157
m21.dat,72.9797
m24.dat,72.7345
marske3.dat,72.7345
m685.dat,72.3699
m5.dat,71.6890
marske4.dat,71.6118
m9.dat,71.2192
marske2.dat,70.9857
ls417mod.dat,68.5147
m10.dat,67.2380
marske5.dat,66.5491
m665.dat,65.3440
m4.dat,65.2128
lwk79100.dat,64.5004
m3.dat,58.8866
ls013.dat,58.7269
m8.dat,57.8717
m2.dat,57.2263
lwk80120k25.dat,56.0897
m19.dat,55.4547
m1.dat,51.8752
m26.dat,46.7309
m23.dat,11.5861
marske1.dat,2.5076
mh106.dat,nan
mh108.dat,nan
mh110.dat,nan
mh122.dat,131.7483
mh116.dat,128.6176
mh114.dat,125.8873
mh38.dat,124.9075
mh113.dat,118.3943
mh112.dat,117.7335
mh121.dat,116.2619
mh18.dat,113.1566
mh115.dat,105.7849
mh117.dat,105.7849
mh200.dat,102.7720
mh201.dat,101.3290
mh120.dat,101.0441
mh32.dat,96.5110
mh46.dat,nan
mh49.dat,nan
mh70.dat,99.1632
mb253515sm.dat,94.5443
mh83.dat,89.9611
mh60.dat,88.0107
mh42.dat,87.9366
mh20.dat,87.6097
mh104.dat,87.5363
mh82.dat,86.8341
mh81.dat,86.2575
mh102.dat,84.6831
mh44.dat,84.6831
mh62.dat,84.5728
mh61.dat,84.0261
mh80.dat,83.3786
mh43.dat,81.6744
mh64.dat,79.7935
mh30.dat,78.6124
mh84.dat,76.4951
mh91.dat,75.7015
mh78.dat,71.3757
mh23.dat,69.8408
mh33.dat,68.8050
mh126.dat,67.0991
mh22.dat,65.7889
mh24.dat,64.8870
mh25.dat,64.5004
mh26.dat,61.7933
mh27.dat,58.0446
mh92.dat,nan
mh93.dat,nan
n0011sc.dat,nan
n12.dat,318.2037
ua79sfm.dat,255.7162
s4158.dat,134.7550
s4062.dat,132.8260
sg6042.dat,128.8728
sg6043.dat,123.3452
ste87391.dat,119.1877
uag8814320.dat,117.2417
sg6051.dat,115.1630
