Airfoil,Efficiency
goe358.dat,136.9899
goe284.dat,136.8815
goe190.dat,135.8897
goe322.dat,135.8190
goe387.dat,135.6393
goe361.dat,135.0210
goe379.dat,134.9909
goe244.dat,134.8529
goe222.dat,133.9667
goe398.dat,133.3200
goe394.dat,132.2804
goe13k.dat,132.2737
goe289.dat,129.4879
goe187.dat,128.9949
goe164.dat,128.9050
goe308.dat,128.7860
goe323.dat,126.7078
goe277.dat,126.1324
goe359.dat,125.7694
goe255.dat,125.0350
goe370.dat,124.6301
goe256.dat,124.1642
goe279.dat,123.1028
goe288.dat,122.8104
goe328.dat,122.4962
goe382.dat,122.2960
goe399.dat,121.4323
goe390.dat,121.2248
goe384.dat,120.6514
goe365.dat,120.4693
goe137.dat,120.4658
goe389.dat,120.0515
goe142.dat,118.9736
goe320.dat,118.9238
goe167.dat,118.8380
goe14.dat,118.1910
goe385.dat,118.0539
goe195.dat,118.0521
goe321.dat,116.8121
goe383.dat,115.8391
goe381.dat,115.2291
goe298.dat,114.4855
goe29b.dat,113.1428
goe184.dat,111.7262
goe316.dat,110.6724
goe400.dat,109.3153
goe377.dat,108.9291
goe198.dat,108.6948
goe386.dat,108.4965
goe309.dat,108.3109
goe300.dat,108.1979
goe367.dat,106.4778
goe144.dat,105.4915
goe176.dat,105.2932
goe318.dat,104.8543
goe155.dat,104.0702
goe290.dat,103.3604
goe403.dat,102.6799
goe396.dat,102.4719
goe285.dat,102.3647
goe140.dat,101.8148
goe238.dat,101.4359
goe223.dat,100.3508
goe174.dat,98.6267
goe165.dat,98.2410
goe281.dat,97.2327
goe177.dat,94.7507
goe380.dat,93.1133
goe15k.dat,91.3995
goe240.dat,90.9703
goe397.dat,90.5385
goe344.dat,90.1325
goe280.dat,90.0969
goe14k.dat,89.4216
goe314.dat,89.3370
goe282.dat,88.9878
goe392.dat,88.0423
goe369.dat,86.6095
goe391.dat,83.0518
goe303.dat,82.9526
goe362.dat,79.8036
goe404.dat,79.2930
goe336.dat,78.9999
goe401.dat,78.6101
goe147.dat,77.9736
goe363.dat,77.7256
goe235.dat,77.4800
goe371.dat,76.9532
goe335.dat,75.7973
goe16k.dat,75.5458
goe210.dat,74.8850
goe326.dat,73.1951
goe182.dat,73.1242
goe325.dat,69.7767
goe393.dat,67.5980
goe178.dat,67.4789
goe372.dat,67.2295
goe276.dat,66.0035
goe368.dat,65.7667
goe229.dat,61.3270
goe143.dat,60.5732
goe310.dat,60.1690
goe180.dat,57.5490
goe388.dat,50.1778
goe286.dat,44.6457
goe376.dat,42.2106
goe374.dat,26.2547
goe346.dat,25.6001
goe448.dat,177.9115
goe07k.dat,170.1120
goe447.dat,167.1487
goe441.dat,166.3461
goe446.dat,162.5294
goe405.dat,154.4493
goe08k.dat,153.3815
goe426.dat,147.5157
goe423.dat,141.9148
goe413.dat,141.3748
goe06k.dat,141.2162
goe425.dat,141.1532
goe412.dat,140.7194
goe123.dat,139.4946
goe428.dat,137.6503
goe12k.dat,134.3371
goe414.dat,133.9572
goe437.dat,132.9527
goe431.dat,130.8420
goe430.dat,130.8229
goe406.dat,129.2150
goe115.dat,127.4613
goe433.dat,127.3898
goe449.dat,126.5046
goe434.dat,125.9667
goe440.dat,125.4364
goe408.dat,124.4048
goe422.dat,123.0301
