Airfoil,Efficiency
fx84w175.dat,50.6568
fx68h120.dat,50.2977
giiii.dat,50.0856
goe420.dat,50.0657
fx79w151a.dat,49.7525
goe435.dat,49.0715
giiih.dat,48.5112
goe421.dat,48.1646
geminism.dat,47.2730
giiig.dat,47.1835
goe388.dat,46.8314
giiif.dat,46.7111
fx78k140a20.dat,46.1849
giiie.dat,45.9565
fx73k170.dat,44.9899
giiid.dat,43.7440
giiic.dat,42.7145
fx77w270s.dat,42.5464
fx73170.dat,41.5450
fx75vg166.dat,41.3582
glennmartin3.dat,41.0486
giiib.dat,40.6058
goe07k.dat,40.5888
glennmartin4.dat,40.3759
goe429.dat,39.2331
fx76100.dat,38.1144
fx69pr281.dat,37.7177
fxl142k.dat,37.7110
fx77080.dat,37.6730
fxlv152.dat,37.6524
fx79l120.dat,37.5585
goe410.dat,37.3146
fx67k170.dat,37.2271
fx79l100.dat,36.5069
fx76120.dat,36.4287
goe12k.dat,36.1145
fx78k161.dat,36.0073
fx78k150.dat,35.2432
goe114.dat,34.4245
fx711530.dat,34.2959
fx71l150.dat,34.2959
fx711520.dat,33.8061
fx711525.dat,33.5884
goe366.dat,33.4697
fx71089a.dat,33.4114
fx71120.dat,32.9761
goe10k.dat,32.6558
fx73170a.dat,32.4351
fx75193.dat,32.3081
fx78k140.dat,32.2347
fx77w343.dat,31.9547
goe409.dat,31.4493
fx84w218.dat,29.5846
goe411.dat,27.4942
fx78pk188.dat,25.0926
goe14k.dat,24.7902
goe08k.dat,22.1181
goe13k.dat,21.5796
fx83w227.dat,19.2472
goe05k.dat,18.7257
goe09k.dat,18.2653
goe15k.dat,17.2555
goe443.dat,17.1261
goe444.dat,15.8793
goe445.dat,11.2585
fx79w660a.dat,0.0234
goe570.dat,nan
goe591.dat,80.4857
goe596.dat,76.5873
goe523.dat,75.5408
goe547.dat,75.0895
goe585.dat,75.0005
goe584.dat,74.3541
goe549.dat,73.9434
goe565.dat,73.0168
goe574.dat,70.0320
goe595.dat,69.5878
goe564.dat,69.4530
goe593.dat,69.0775
goe566.dat,65.5982
goe526.dat,65.3794
goe515.dat,64.4164
goe563.dat,63.9379
goe590.dat,62.4712
goe527.dat,62.1302
goe592.dat,60.3501
goe573.dat,59.6234
goe530.dat,59.3799
goe587.dat,57.2354
goe55.dat,55.9382
goe562.dat,55.0625
goe548.dat,53.1647
goe575.dat,38.6598
goe518.dat,37.7882
goe522.dat,37.2151
goe572.dat,36.8564
goe514.dat,36.8371
goe531.dat,16.3936
goe571.dat,10.4060
goe561.dat,9.3725
goe775.dat,nan
goe776.dat,nan
goe801.dat,362.8645
goe802.dat,362.8645
goe802a.dat,228.6224
goe803h.dat,117.7586
goe804.dat,109.2675
hobie.dat,86.0386
hor12.dat,85.6932
hor07.dat,81.0432
goe711.dat,78.3342
hobiesm.dat,77.6231
goe723.dat,76.7663
goe769.dat,74.3431
gs1.dat,74.1715
goe758.dat,73.9434
goe693.dat,71.0853
goe796.dat,70.6396
goe797.dat,67.7878
goe701.dat,65.9303
goe692.dat,65.7113
hor20.dat,63.7594
goe702.dat,62.8462
goe795sm.dat,62.6847
goe795.dat,60.2069
goe746.dat,59.4887
goe744.dat,56.4257
goe770.dat,53.8195
goe777.dat,53.0585
hor04.dat,53.0400
goe741.dat,49.3442
goe704.dat,47.0487
goe767.dat,46.9662
hh02.dat,46.9331
goe766.dat,44.6836
goe798.dat,44.2039
goe738.dat,41.8501
hq010.dat,38.5933
hq09.dat,37.5488
goe735.dat,37.1542
goe765.dat,33.2583
hq07.dat,30.6462
goe92.dat,30.0836
goe703.dat,21.3635
goe780.dat,18.4690
hs1430.dat,16.9384
gu255118.dat,12.5379
ht35.dat,nan
ma409.dat,310.2422
m8.dat,85.0945
ls413mod.dat,84.5694
m9.dat,84.3631
ls413.dat,82.4484
ma409sm.dat,77.4410
m20.dat,74.4679
ls417mod.dat,73.4775
ls417.dat,73.4312
lnv109a.dat,72.6589
m13.dat,72.4905
m14.dat,71.7451
ls421mod.dat,71.5652
m21.dat,67.9425
m23.dat,67.2878
m15.dat,64.5981
m17.dat,63.5292
m24.dat,61.1377
mh102.dat,59.4884
lrn1015.dat,59.3879
m18.dat,56.7256
ls421.dat,54.3506
m10.dat,53.5593
m12.dat,52.0492
m11.dat,50.3469
mb253515sm.dat,48.7913
m5.dat,47.1142
m4.dat,46.9882
marske4.dat,46.6318
m6.dat,46.2530
marske5.dat,45.5142
marske3.dat,44.8408
marske7.dat,44.4038
marske2.dat,44.3766
m685.dat,43.1137
marske1.dat,41.8211
lwk79100.dat,40.8547
m665.dat,40.5181
ls013.dat,38.7767
m1.dat,37.0241
m3.dat,36.0864
m2.dat,35.3491
lwk80120k25.dat,34.7455
lwk80100.dat,34.6479
lwk80080.dat,32.2689
lwk80150k25.dat,31.5619
m26.dat,22.5007
mh110.dat,nan
mh115.dat,100.6510
ist-mt1-12.dat,98.8880
ist-mt1-21.dat,94.8560
isa962.dat,94.6116
mh114.dat,93.5192
ist-mt1-18.dat,93.2870
isa571.dat,90.8959
kc135winglet.dat,89.4913
mh116.dat,87.1115
jn153.dat,86.9697
ist-mt1-15.dat,85.7597
isa961.dat,85.4630
ist-mt1-24.dat,84.4275
mh113.dat,83.9340
mh122.dat,83.8748
mh49.dat,nan
mh84.dat,82.7661
mh38.dat,82.3106
mh83.dat,81.9959
legionair140_sm.dat,75.5368
mh201.dat,75.1177
mh117.dat,72.3058
k3311.dat,71.9606
k3311sm.dat,71.3622
mh112.dat,71.1692
isa960.dat,70.1927
k3.dat,70.0692
mh70.dat,68.9838
mh32.dat,68.7435
l188tip.dat,66.3476
l7769.dat,65.7034
k1.dat,65.4130
mh200.dat,64.5606
mh82.dat,63.0138
mh121.dat,62.6863
mh30.dat,62.3544
mh120.dat,61.3161
kc135d.dat,60.2169
la5055.dat,59.0917
lds2.dat,57.9314
jx-gs-15.dat,57.7904
mh42.dat,57.6577
l188root.dat,57.5388
mh43.dat,57.3335
jx-gs-10.dat,57.0836
jx-gs-06.dat,56.9808
mh81.dat,56.8451
jx-gs-04.dat,55.7927
kc135c.dat,53.1823
ht23.dat,52.3853
mh33.dat,52.2653
mh64.dat,52.1929
mh18.dat,51.6635
mh62.dat,51.3272
lg10sc.dat,50.3747
mh24.dat,50.3292
mh80.dat,50.2571
mh60.dat,50.2273
ht22.dat,49.9942
mh20.dat,49.9267
mh45.dat,49.8517
kc135b.dat,49.0426
mh25.dat,48.7011
mh23.dat,48.6680
mh44.dat,48.3692
mh22.dat,47.7760
hsnlf213.dat,47.7527
kc135a.dat,45.7989
k2.dat,45.1403
mh61.dat,44.6994
la2573a.dat,44.2302
mh104.dat,43.7110
mh26.dat,42.9987
ht14.dat,42.2609
joukowsk.dat,41.7860
mh46.dat,41.7839
ht13.dat,41.0609
mh78.dat,39.8492
mh108.dat,39.3909
mh91.dat,39.1076
mh106.dat,38.9258
ht34.dat,38.6569
ht33.dat,38.1977
ht12.dat,37.4166
mh92.dat,37.3289
ht08.dat,36.7056
ht05.dat,36.5387
